Comparison of ROUGE scores for untuned Llama2-7b vs fine-tuned Llama2-7b,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Untuned Llama2,,,,Fine-tuned Llama2,,,,Improvement/Regression,,
,,,,,,,,,,,,,
,,,Precision,Recall,fMeasure,,Precision,Recall,fMeasure,,Precision,Recall,fMeasure
,,,,,,,,,,,,,
Question  1,rouge1,,0.60,0.42,0.49,,0.79,0.23,0.36,,0.19,-0.19,-0.14
Question  1,rouge2,,0.25,0.18,0.21,,0.48,0.14,0.22,,0.23,-0.04,0.01
Question  1,rougeL,,0.31,0.22,0.26,,0.62,0.18,0.28,,0.31,-0.04,0.02
,,,,,,,,,,,,,
Question  2,rouge1,,0.80,0.18,0.30,,0.35,0.68,0.46,,-0.45,0.50,0.16
Question  2,rouge2,,0.31,0.07,0.11,,0.17,0.33,0.22,,-0.15,0.26,0.11
Question  2,rougeL,,0.49,0.11,0.18,,0.22,0.44,0.30,,-0.27,0.33,0.12
,,,,,,,,,,,,,
Question  3,rouge1,,0.64,0.26,0.37,,0.56,0.16,0.24,,-0.08,-0.10,-0.12
Question  3,rouge2,,0.30,0.12,0.17,,0.15,0.04,0.07,,-0.14,-0.07,-0.10
Question  3,rougeL,,0.47,0.19,0.27,,0.39,0.11,0.17,,-0.08,-0.08,-0.10
,,,,,,,,,,,,,
Question  4,rouge1,,0.63,0.20,0.31,,0.33,0.19,0.24,,-0.29,-0.01,-0.06
Question  4,rouge2,,0.21,0.07,0.10,,0.06,0.03,0.04,,-0.15,-0.04,-0.06
Question  4,rougeL,,0.33,0.11,0.16,,0.24,0.14,0.17,,-0.10,0.03,0.01
,,,,,,,,,,,,,
Question  5,rouge1,,0.54,0.46,0.50,,0.09,0.74,0.16,,-0.45,0.28,-0.34
Question  5,rouge2,,0.17,0.15,0.16,,0.03,0.28,0.06,,-0.14,0.13,-0.10
Question  5,rougeL,,0.32,0.27,0.29,,0.07,0.58,0.12,,-0.25,0.31,-0.17
,,,,,,,,,,,,,
Question  6,rouge1,,0.39,0.42,0.40,,0.05,0.28,0.09,,-0.34,-0.14,-0.31
Question  6,rouge2,,0.04,0.04,0.04,,0.01,0.04,0.01,,-0.03,-0.01,-0.03
Question  6,rougeL,,0.15,0.16,0.16,,0.03,0.14,0.05,,-0.12,-0.02,-0.11
,,,,,,,,,,,,,
Question  7,rouge1,,0.60,0.10,0.17,,0.65,0.07,0.13,,0.05,-0.03,-0.04
Question  7,rouge2,,0.18,0.03,0.05,,0.15,0.02,0.03,,-0.03,-0.01,-0.02
Question  7,rougeL,,0.35,0.06,0.10,,0.35,0.04,0.07,,0.00,-0.02,-0.03
,,,,,,,,,,,,,
Question  8,rouge1,,0.70,0.50,0.58,,0.19,0.53,0.28,,-0.51,0.03,-0.31
Question  8,rouge2,,0.27,0.19,0.22,,0.04,0.10,0.05,,-0.23,-0.09,-0.17
Question  8,rougeL,,0.40,0.28,0.33,,0.11,0.32,0.17,,-0.28,0.04,-0.16
,,,,,,,,,,,,,
Question  9,rouge1,,0.71,0.12,0.21,,0.71,0.09,0.16,,0.00,-0.03,-0.05
Question  9,rouge2,,0.30,0.05,0.08,,0.20,0.02,0.04,,-0.09,-0.02,-0.04
Question  9,rougeL,,0.53,0.09,0.15,,0.49,0.06,0.11,,-0.04,-0.03,-0.05
,,,,,,,,,,,,,
Question  10,rouge1,,0.71,0.36,0.48,,0.63,0.44,0.52,,-0.08,0.08,0.04
Question  10,rouge2,,0.17,0.09,0.11,,0.15,0.10,0.12,,-0.02,0.02,0.01
Question  10,rougeL,,0.43,0.22,0.29,,0.34,0.24,0.28,,-0.09,0.02,-0.01
,,,,,,,,,,,,,
Question  11,rouge1,,0.55,0.20,0.30,,0.61,0.13,0.22,,0.06,-0.07,-0.08
Question  11,rouge2,,0.12,0.04,0.06,,0.14,0.03,0.05,,0.02,-0.01,-0.01
Question  11,rougeL,,0.26,0.10,0.14,,0.26,0.06,0.09,,0.00,-0.04,-0.05
,,,,,,,,,,,,,
